"city","population","country","cca2","lat","lng","slug"
"Rivne",255106,"Ukraine","UA",50.6231,26.2274,
"Gdynia",253730,"Poland","PL",54.5189,18.5319,
"Carabanchel",253678,"Spain","ES",40.3909,-3.7242,
"Wolverhampton",252791,"United Kingdom","GB",52.5855,-2.12296,
"Eimsbuettel",251907,"Germany","DE",53.5742,9.95679,
"Altona",250192,"Germany","DE",53.55,9.93333,
"Nis",250000,"Serbia","RS",43.3247,21.9033,
"Kropyvnytskyi",249454,"Ukraine","UA",48.5132,32.2597,
"Kamianske",248575,"Ukraine","UA",48.5113,34.6021,
"Czestochowa",248125,"Poland","PL",50.7965,19.1241,
"City of Westminster",247614,"United Kingdom","GB",51.5,-0.11667,
"Chemnitz",247220,"Germany","DE",50.8357,12.9292,
"Orsk",246836,"Russia","RU",51.2049,58.5668,
"A Coruna",246056,"Spain","ES",43.3713,-8.396,
"Nizhnevartovsk",244937,"Russia","RU",60.9344,76.5531,
"Braunschweig",244715,"Germany","DE",52.2659,10.5267,
"Puente de Vallecas",244151,"Spain","ES",40.3935,-3.662,
"Angarsk",243158,"Russia","RU",52.5367,103.886,
"Mar'ino",243000,"Russia","RU",55.65,37.7167,
"Novorossiysk",241856,"Russia","RU",44.7244,37.7675,
"Khimki",239967,"Russia","RU",55.897,37.4297,
"Blackpool",239409,"United Kingdom","GB",53.8167,-3.05,
"Krefeld",237984,"Germany","DE",51.3364,6.55381,
"Arhus",237551,"Denmark","DK",56.1567,10.2108,
"Kosice",236563,"Slovakia","SK",48.714,21.2581,
"Chernivtsi",236250,"Ukraine","UA",48.2915,25.9403,
"Sant Marti",235719,"Spain","ES",41.4181,2.19933,
"Ternopil",235676,"Ukraine","UA",49.5534,25.5892,
"Gasteiz / Vitoria",235661,"Spain","ES",42.85,-2.67268,
"Granada",234325,"Spain","ES",37.1882,-3.60667,
"Nizhnekamsk",234297,"Russia","RU",55.6366,51.8245,
"Halle (Saale)",234107,"Germany","DE",51.4816,11.9795,
"Hamburg-Mitte",233144,"Germany","DE",53.55,10.0167,
"Dzerzhinsk",233126,"Russia","RU",56.2414,43.4554,
"Kiel",232758,"Germany","DE",54.3213,10.1349,
"Syktyvkar",230139,"Russia","RU",61.6764,50.8099,
"Elche",230112,"Spain","ES",38.2622,-0.70107,
"Milton Keynes",229941,"United Kingdom","GB",52.0417,-0.75583,
"Magdeburg",229826,"Germany","DE",52.1277,11.6292,
"Ploiesti",228851,"Romania","RO",44.95,26.0167,
"Ciudad Lineal",228171,"Spain","ES",40.445,-3.65132,
"Bexley",228000,"United Kingdom","GB",51.4416,0.14866,
"Kremenchuk",227494,"Ukraine","UA",49.068,33.4204,
"Sosnowiec",227295,"Poland","PL",50.2868,19.1038,
"Staryy Oskol",226977,"Russia","RU",51.2967,37.8417,
"Neue Neustadt",226851,"Germany","DE",52.15,11.6333,
"Radom",226794,"Poland","PL",51.4025,21.1471,
"Groznyy",226100,"Russia","RU",43.312,45.6889,
"Sector 1",225453,"Romania","RO",44.4924,26.0483,
"Oviedo",224005,"Spain","ES",43.3603,-5.84476,
"Santa Cruz de Tenerife",222417,"Spain","ES",28.4682,-16.2546,
"Graz",222326,"Austria","AT",47.0667,15.45,
"Shakhty",221312,"Russia","RU",47.7091,40.2144,
"Blagoveshchensk",221296,"Russia","RU",50.2796,127.54,
"Banja Luka",221106,"Bosnia and Herzegovina","BA",44.7784,17.1939,
"Babruysk",220517,"Belarus","BY",53.1384,29.2214,
"Fuencarral-El Pardo",220085,"Spain","ES",40.4984,-3.7314,
"Messina",219948,"Italy","IT",38.1939,15.5526,
"Badalona",219547,"Spain","ES",41.45,2.24741,
"Oberhausen",219176,"Germany","DE",51.4781,6.8625,
"Prokop'yevsk",219000,"Russia","RU",53.9059,86.719,
"Rybinsk",216724,"Russia","RU",58.0446,38.8426,
"Vykhino-Zhulebino",216000,"Russia","RU",55.702,37.8118,
"Freiburg",215966,"Germany","DE",47.9959,7.85222,
"Northampton",215963,"United Kingdom","GB",52.25,-0.88333,
"Zelenograd",215727,"Russia","RU",55.9825,37.1814,
"Archway",215667,"United Kingdom","GB",51.5673,-0.13415,
"Biysk",215430,"Russia","RU",52.5364,85.2072,
"Novi Sad",215400,"Serbia","RS",45.2517,19.8369,
"Velikiy Novgorod",215062,"Russia","RU",58.5213,31.271,
"Centralniy",214625,"Russia","RU",59.9311,30.3607,
"Lutsk",213661,"Ukraine","UA",50.7593,25.3424,
"Bergen",213585,"Norway","NO",60.393,5.32415,
"Braila",213569,"Romania","RO",45.2667,27.9833,
"Norwich",213166,"United Kingdom","GB",52.6278,1.29834,
"Mokotow",212670,"Poland","PL",52.1934,21.0349,
"Luebeck",212207,"Germany","DE",53.8689,10.6873,
"Cartagena",211996,"Spain","ES",37.6051,-0.98623,
"Terrassa",210941,"Spain","ES",41.5667,2.01667,
"Torun",208717,"Poland","PL",53.0137,18.5981,
"Kielce",208598,"Poland","PL",50.8703,20.6275,
"Jerez de la Frontera",207532,"Spain","ES",36.6865,-6.13606,
"Oradea",206614,"Romania","RO",47.0458,21.9183,
"Sabadell",206493,"Spain","ES",41.5433,2.10942,
"Mostoles",206478,"Spain","ES",40.3223,-3.86496,
"Linz",204846,"Austria","AT",48.3064,14.2861,
"Alcala de Henares",204574,"Spain","ES",40.4821,-3.35996,
"Ivano-Frankivsk",204200,"Ukraine","UA",48.9215,24.7097,
"Debrecen",204124,"Hungary","HU",47.5333,21.6333,
"Erfurt",203254,"Germany","DE",50.9787,11.0328,
"Vasyl'evsky Ostrov",203058,"Russia","RU",59.9409,30.2538,
"Harburg",202571,"Germany","DE",53.4606,9.98388,
"Pskov",201990,"Russia","RU",57.8136,28.3496,
"Favoriten",201882,"Austria","AT",48.1612,16.3823,
"Nicosia",200452,"Cyprus","CY",35.1753,33.3642,
"Severnyy",200000,"Russia","RU",55.9358,37.5489,
"Tilburg",199613,"Netherlands","NL",51.5555,5.0913,
"Balakovo",199572,"Russia","RU",52.0278,47.8007,
"Armavir",199548,"Russia","RU",44.9892,41.1234,
"Bila Tserkva",199163,"Ukraine","UA",49.8094,30.1121,
"Dudley",199059,"United Kingdom","GB",52.5,-2.08333,
"Hagen",198972,"Germany","DE",51.3608,7.47168,
"Gliwice",198835,"Poland","PL",50.2976,18.6766,
"Pamplona",198491,"Spain","ES",42.8169,-1.64323,
"Rostock",198293,"Germany","DE",54.0887,12.1405,
"Fuenlabrada",197836,"Spain","ES",40.2842,-3.79415,
"Aberdeen",196670,"United Kingdom","GB",57.1437,-2.09814,
"Reims",196565,"France","FR",49.25,4.03333,
"Engel's",196011,"Russia","RU",51.4839,46.1053,
"Burgas",195966,"Bulgaria","BG",42.5061,27.4678,
"Kassel",194501,"Germany","DE",51.3167,9.5,
"Severodvinsk",194292,"Russia","RU",64.5635,39.8302,
"Portsmouth",194150,"United Kingdom","GB",50.799,-1.09125,
"Klaipeda",192307,"Lithuania","LT",55.7089,21.1431,
"Zabrze",192177,"Poland","PL",50.3249,18.7858,
"Zlatoust",191366,"Russia","RU",55.1711,59.6508,
"Cork",190384,"Ireland","IE",51.898,-8.47061,
"Vantaa",190058,"Finland","FI",60.2941,25.041,
"Syzran'",189338,"Russia","RU",53.1585,48.4681,
"Bytom",189186,"Poland","PL",50.348,18.9328,
"Almeria",188810,"Spain","ES",36.8381,-2.45974,
"Praga Poludnie",187845,"Poland","PL",52.2442,21.0854,
"Sutton",187600,"United Kingdom","GB",51.35,-0.2,
"Petropavlovsk-Kamchatsky",187282,"Russia","RU",53.0444,158.651,
"Trieste",187056,"Italy","IT",45.6495,13.7768,
"Donaustadt",187007,"Austria","AT",48.2333,16.46,
"Leganes",186066,"Spain","ES",40.3272,-3.7635,
"Le Havre",185972,"France","FR",49.4938,0.10767,
"Swindon",185609,"United Kingdom","GB",51.558,-1.78116,
"Dun Laoghaire",185400,"Ireland","IE",53.2939,-6.13586,
"San Sebastian",185357,"Spain","ES",43.3128,-1.97499,
"Hamm",185327,"Germany","DE",51.6803,7.82089,
"Mainz",184997,"Germany","DE",49.9842,8.2791,
"Geneve",183981,"Switzerland","CH",46.2022,6.14569,
"Cergy-Pontoise",183430,"France","FR",49.0389,2.07805,
"Korolyov",183402,"Russia","RU",55.9173,37.8179,
"Sants-Montjuic",183120,"Spain","ES",41.3726,2.1546,
"Santander",182700,"Spain","ES",43.4647,-3.80444,
"Kamensk-Ural'skiy",182500,"Russia","RU",56.4185,61.9329,
"Prato",181820,"Italy","IT",43.8805,11.097,
"Saarbruecken",181227,"Germany","DE",49.2326,7.00982,
"Groningen",181194,"Netherlands","NL",53.2192,6.56667,
"Crawley",180508,"United Kingdom","GB",51.113,-0.18312,
"Castello de la Plana",180005,"Spain","ES",39.9857,-0.04935,
"Yasenevo",180000,"Russia","RU",55.6069,37.5199,
"Burgos",178966,"Spain","ES",42.3411,-3.70184,
"Amadora",178858,"Portugal","PT",38.7538,-9.23083,
